;Indice_vieillissement;ratio_FILLON
252;48.7;17.543859649122805
253;112.5;24.418604651162788
254;47.7;32.22891566265061
255;82.8;26.459627329192546
256;115.6;12.8
257;77.1;19.172113289760347
258;72.0;16.94560669456067
259;150.8;22.653429602888085
260;115.7;17.195767195767196
261;77.7;24.22360248447205
262;49.0;19.471947194719473
263;82.6;10.909090909090908
264;89.5;12.82051282051282
265;112.5;15.151515151515152
266;31.5;31.83533447684391
267;55.3;17.65853658536585
268;52.9;12.953367875647666
269;29.0;24.700239808153476
270;64.2;21.548821548821547
271;71.2;23.299244108492665
272;59.2;19.521178637200737
273;68.4;26.326963906581742
274;78.9;16.808149405772497
275;60.5;18.152866242038215
276;104.4;19.936708860759495
277;250.0;15.789473684210526
278;107.5;9.285714285714286
279;82.2;12.686567164179104
280;59.7;16.88034188034188
281;75.9;18.530964954392704
282;39.4;20.16348773841962
283;40.5;18.660287081339714
284;65.3;18.282548476454295
285;75.5;17.9519595448799
286;71.7;19.04127829560586
287;106.3;32.20675944333996
288;35.7;26.610644257703083
289;53.1;18.14780168381665
290;107.0;21.65948275862069
291;68.4;14.00454201362604
292;57.9;19.960474308300398
293;56.1;21.669218989280246
294;72.8;23.318938926588526
295;84.2;24.922118380062305
296;93.3;22.17308907138345
297;42.8;16.72316384180791
298;69.8;12.883435582822086
299;38.0;20.833333333333336
300;41.3;23.11542991755006
301;51.6;18.367346938775512
302;46.0;10.852713178294573
303;57.1;19.902912621359224
304;87.9;26.515151515151516
305;69.8;28.30188679245283
306;42.0;26.397919375812744
307;55.7;22.61048304213772
308;39.7;20.454545454545457
309;74.8;16.35338345864662
310;100.6;20.71269487750557
311;63.6;18.169014084507044
312;32.4;16.69724770642202
313;75.3;21.35135135135135
314;50.2;18.448637316561843
315;83.1;24.025974025974026
316;120.5;15.607734806629834
317;30.5;15.025906735751295
318;59.2;10.465116279069768
319;74.7;24.69982847341338
320;71.0;21.288014311270125
321;56.8;18.236472945891784
322;70.0;15.526315789473685
323;52.4;19.442761962447
324;48.8;12.053571428571429
325;84.7;18.556701030927837
326;37.1;17.22113502935421
327;68.0;24.479166666666664
328;56.7;18.488372093023255
329;74.0;12.18274111675127
330;69.1;22.398843930635838
331;55.8;16.9054441260745
332;27.2;17.692307692307693
333;167.6;24.014336917562723
334;77.3;21.521335807050093
335;55.4;17.70186335403727
336;193.3;21.463414634146343
337;54.2;21.48148148148148
338;38.3;26.126126126126124
339;92.0;16.390041493775932
340;61.5;30.352941176470587
341;39.8;25.24390243902439
342;45.9;31.21951219512195
343;106.9;14.912280701754385
344;39.3;29.19799498746867
345;98.7;15.051020408163266
346;69.3;16.619318181818183
347;150.0;20.212765957446805
348;38.5;13.702623906705538
349;97.4;23.853211009174313
350;58.5;14.342629482071715
351;67.0;12.826603325415679
352;32.5;20.0
353;73.9;17.613636363636363
354;55.0;20.11173184357542
355;86.4;15.234375
356;114.1;11.637931034482758
357;55.3;21.316165951359086
358;41.3;25.616381111575425
359;119.0;18.70794078061911
360;64.7;10.95890410958904
361;76.8;20.344827586206897
362;33.6;19.93911719939117
363;53.0;25.189553496208926
364;88.2;20.855614973262032
365;60.7;17.658600392413344
366;48.9;20.923076923076923
367;40.8;35.0
368;55.2;16.097560975609756
369;58.0;17.002881844380404
370;70.6;14.814814814814813
371;75.0;22.872340425531913
372;30.1;15.54054054054054
373;60.6;24.912280701754387
374;34.7;22.914349276974416
375;71.1;35.741444866920155
376;63.9;21.138211382113823
377;58.3;21.311475409836063
378;48.0;21.182266009852217
379;94.0;20.856820744081173
380;57.7;15.128593040847202
381;36.2;19.25
382;42.1;23.86237513873474
383;100.8;14.497041420118343
384;67.0;24.8868778280543
385;44.5;17.718940936863543
386;44.9;19.636363636363637
387;74.0;24.703455389375968
388;72.4;10.669077757685352
389;120.3;12.941176470588237
390;45.7;17.39961759082218
391;218.2;30.508474576271187
392;83.1;24.123076923076923
393;65.1;12.063492063492063
394;68.2;15.69767441860465
395;75.6;14.48382126348228
396;94.6;27.419354838709676
397;52.8;14.391143911439114
398;96.5;18.592964824120603
399;133.3;16.304347826086957
400;34.4;12.5
401;69.2;12.048192771084338
402;39.6;13.761467889908257
403;74.4;20.05420054200542
404;75.0;19.607843137254903
405;50.8;20.3125
406;52.8;14.442013129102845
407;80.0;21.428571428571427
408;43.3;11.688311688311687
409;45.8;19.553072625698324
410;80.0;14.652014652014653
411;98.8;21.45922746781116
412;76.4;21.942446043165468
413;95.2;11.940298507462686
414;74.3;26.296296296296294
415;65.2;18.51851851851852
416;160.0;25.0
417;60.6;20.51282051282051
418;106.0;14.000000000000002
419;74.5;10.065515187611673
420;56.5;11.20331950207469
421;103.1;26.035502958579883
422;86.9;15.217391304347828
423;45.7;12.179487179487179
424;85.0;20.634920634920633
425;31.4;27.27272727272727
426;30.6;26.035502958579883
427;65.2;15.517241379310345
428;44.5;8.165680473372781
429;161.5;15.384615384615385
430;38.4;12.962962962962962
431;60.4;22.5
432;90.5;16.3265306122449
433;92.9;17.46724890829694
434;47.6;11.11111111111111
435;116.7;61.904761904761905
436;74.1;10.714285714285714
437;83.3;17.346938775510203
438;58.8;21.176470588235293
439;97.1;13.953488372093023
440;66.7;17.78846153846154
441;112.3;24.778761061946902
442;79.4;14.117647058823529
443;96.1;25.75
444;58.0;20.229007633587788
445;258.3;19.736842105263158
446;49.1;8.928571428571429
447;88.9;19.54787234042553
448;45.5;16.551724137931036
449;77.7;7.36462093862816
450;101.9;17.91907514450867
451;42.1;8.333333333333332
452;46.2;18.51851851851852
453;72.4;7.9831932773109235
454;138.4;11.3323124042879
455;59.9;12.213740458015266
456;76.7;24.615384615384617
457;78.0;22.0125786163522
458;39.5;13.793103448275861
459;93.5;31.16883116883117
460;55.4;20.56737588652482
461;62.5;13.333333333333334
462;61.4;21.21212121212121
463;56.9;12.539184952978054
464;43.1;8.98876404494382
465;76.6;22.06896551724138
466;24.5;34.883720930232556
467;73.1;17.647058823529413
468;44.2;7.6923076923076925
469;144.8;13.725490196078432
470;64.3;22.746781115879827
471;55.4;15.96958174904943
472;60.0;13.750000000000002
473;64.9;10.368663594470046
474;46.5;14.193548387096774
475;23.2;14.15929203539823
476;57.8;15.251572327044025
477;85.7;9.523809523809524
478;72.7;32.758620689655174
479;116.9;14.367816091954023
480;46.0;14.788732394366196
481;104.3;16.39344262295082
482;72.3;14.027777777777779
483;66.9;24.475524475524477
484;70.3;10.775047258979207
485;53.8;14.285714285714285
486;57.8;21.875
487;66.3;12.096774193548388
488;24.3;14.102564102564102
489;31.6;24.444444444444443
490;84.9;20.72072072072072
491;37.3;21.705426356589147
492;78.6;12.777777777777777
493;73.1;17.333333333333336
494;50.9;18.51851851851852
495;95.5;11.597938144329897
496;56.3;24.528301886792452
497;84.1;22.857142857142858
498;86.0;23.510971786833856
499;98.3;15.681233933161954
500;61.3;6.9478908188585615
501;60.0;10.817307692307693
502;147.6;16.56210790464241
503;91.5;9.836065573770492
504;114.3;29.126213592233007
505;66.7;9.803921568627452
506;93.1;11.39240506329114
507;70.8;18.947368421052634
508;51.9;20.155038759689923
509;75.4;8.823529411764707
510;76.9;25.64102564102564
511;86.1;18.095238095238095
512;104.1;20.803782505910164
513;35.5;22.30769230769231
514;115.1;20.066889632107024
515;87.0;14.655172413793101
516;95.3;22.69573835480674
517;100.0;30.434782608695656
518;88.9;19.28571428571429
519;96.5;13.782051282051283
520;41.0;25.185185185185183
521;69.9;19.183673469387756
522;95.2;11.616161616161616
523;89.3;15.648286140089418
524;42.4;34.02061855670103
525;25.5;29.577464788732392
526;78.3;23.18840579710145
527;81.6;19.19191919191919
528;63.5;17.228464419475657
529;113.6;18.592964824120603
530;39.4;5.681818181818182
531;73.1;25.892857142857146
532;41.9;21.839080459770116
533;70.4;11.436170212765957
534;95.0;0.0
535;61.2;11.30952380952381
536;47.6;28.57142857142857
537;50.0;20.0
538;91.3;22.78481012658228
539;72.2;43.07692307692308
540;69.1;11.214953271028037
541;44.8;16.7420814479638
542;109.1;9.836065573770492
543;54.3;10.32258064516129
544;101.7;12.639405204460965
545;34.1;18.354430379746837
546;82.1;16.923076923076923
547;79.7;17.391304347826086
548;26.8;11.875
549;73.2;19.129782445611404
550;81.2;15.686274509803921
551;93.9;11.052072263549416
552;66.8;13.526570048309178
553;46.1;15.399239543726237
554;82.8;16.90223792697291
555;84.2;38.333333333333336
556;78.6;21.25
557;58.3;20.634920634920633
558;38.9;19.205298013245034
559;80.3;13.808423671583437
560;55.6;12.269938650306749
561;76.9;20.72072072072072
562;40.0;12.4031007751938
563;94.4;27.368421052631582
564;63.0;17.333333333333336
565;63.6;14.027149321266968
566;51.3;13.793103448275861
567;116.7;16.129032258064516
568;79.3;26.732673267326735
569;81.8;18.88111888111888
570;129.4;12.299465240641712
571;45.1;17.117117117117118
572;152.0;22.01722017220172
573;113.4;18.168604651162788
574;141.4;20.388349514563107
575;68.9;9.649122807017543
576;83.7;8.13953488372093
577;75.0;20.141342756183743
578;32.5;24.050632911392405
579;118.8;27.500000000000004
580;147.2;13.66906474820144
581;38.2;15.478260869565217
582;97.3;20.673076923076923
583;62.2;21.66172106824926
584;77.8;12.23021582733813
585;48.2;7.121661721068249
586;34.5;19.444444444444446
587;173.2;15.577889447236181
588;69.3;14.857142857142858
589;220.0;31.666666666666664
590;27.5;17.21311475409836
591;70.8;17.741935483870968
592;59.3;15.909090909090908
593;48.0;9.35672514619883
594;81.0;14.985590778097983
595;43.0;10.78838174273859
596;87.0;21.686746987951807
597;92.9;16.40449438202247
598;67.1;12.631578947368421
599;29.4;10.0
600;77.7;10.7981220657277
601;61.5;15.07537688442211
602;101.7;15.221579961464354
603;66.3;13.649025069637883
604;33.5;12.264150943396226
605;48.4;20.676691729323306
606;50.0;15.789473684210526
607;100.0;33.33333333333333
608;48.9;18.75
609;44.2;10.045662100456621
610;70.4;16.923076923076923
611;97.2;15.177065767284992
612;90.0;24.358974358974358
613;91.8;16.574585635359114
614;113.3;11.363636363636363
615;63.3;23.200000000000003
616;38.8;11.00196463654224
617;80.4;14.5985401459854
618;51.4;23.711340206185564
619;66.7;21.518987341772153
620;92.3;13.23529411764706
621;43.2;9.94475138121547
622;94.6;11.267605633802818
623;62.5;13.186813186813188
624;42.1;13.628899835796387
625;57.0;18.243243243243242
626;69.5;32.432432432432435
627;50.6;15.819209039548024
628;90.8;13.13260730301089
629;40.0;18.91891891891892
630;60.0;13.80400421496312
631;63.6;15.406162464985995
632;53.1;17.142857142857142
633;53.1;25.71428571428571
634;45.5;10.416666666666668
635;71.4;40.0
636;100.0;15.09433962264151
637;64.8;14.285714285714285
